Sample	posterior	likelihood	prior	Tree.t:seq87_RBD_masked.CFheight	Tree.t:seq87_RBD_masked.CFlength	Tree.t:seq87_RBD_masked.nConv	Tree.t:seq87_RBD_masked.nUselessConvs	Tree.t:seq87_RBD_masked.meanEdgeLength	Tree.t:seq87_RBD_masked.meanDepartureHeight	Tree.t:seq87_RBD_masked.locus.seq87_RBD_masked.meanTractLength	Tree.t:seq87_RBD_masked.locus.seq87_RBD_masked.meanRegionLength	Tree.t:seq87_RBD_masked.locus.seq87_RBD_masked.meanStartSite	Tree.t:seq87_RBD_masked.locus.seq87_RBD_masked.meanEndSite	Tree.t:seq87_RBD_masked.locus.seq87_RBD_masked.randomStartSite	Tree.t:seq87_RBD_masked.locus.seq87_RBD_masked.randomEndSite	rho.t:seq87_RBD_masked	delta.t:seq87_RBD_masked	popSize.t:seq87_RBD_masked	clockRate.c:seq87_RBD_masked	gammaShape.s:seq87_RBD_masked	freqParameter.s:seq87_RBD_masked.1	freqParameter.s:seq87_RBD_masked.2	freqParameter.s:seq87_RBD_masked.3	freqParameter.s:seq87_RBD_masked.4	kappa.s:seq87_RBD_masked	ClockPrior.c:seq87_RBD_masked	deltaPrior.t:seq87_RBD_masked	FrequenciesPrior.s:seq87_RBD_masked	GammaShapePrior.s:seq87_RBD_masked	KappaPrior.s:seq87_RBD_masked	rhoPrior.t:seq87_RBD_masked	popSizePrior.t:seq87_RBD_masked	monophyletic(all)	logP(mrca(all))	mrca.date(all)
300000	-10621.238064269926	-9264.518643239513	-1356.7194210304126	1765.9375219871386	21721.38223227254	20	1	1012.9085389969947	403.7748279837829	138.55	25.344827586206897	186.2	323.75	0.0	31.0	1.3525287914052378E-6	264.8587736759225	2773.840847049811	2.490885117410827E-4	0.2996469410905057	0.29400187263467426	0.18184645089753906	0.13290891939051316	0.3912427570772734	4.213730264984309	5.626861725851742	-4.8356830749595865	0.0	-0.2996469410905057	-2.6419181440128727	-10.925509898404176	-13.815510557964274	0	-9.615805480084347	254.06247801286145
310000	-10347.240959205354	-9027.705682631185	-1319.5352765741684	1820.8982080428675	20827.438268147285	19	1	544.0852460830632	475.69225061384964	157.0	28.26923076923077	203.52631578947367	359.5263157894737	0.0	53.0	8.899911938389281E-7	278.70942257271594	3298.120178702918	2.4346320405889798E-4	0.33102940107823914	0.30889492250309486	0.1793156047061528	0.13875518379024682	0.37303428900050545	4.572145481147336	5.593502142332602	-4.9009700372337095	0.0	-0.33102940107823914	-2.7485868478476374	-11.942805429670692	-13.815510557964274	0	-9.615805480084347	199.1017919571325
320000	-10341.548252011682	-9007.78592788274	-1333.7623241289414	1894.963236258003	21684.388178450678	20	1	735.79312538481	358.0908004409393	143.15	27.22222222222222	287.2	429.35	143.0	105.0	1.0892208915787632E-6	274.1244368465269	2819.9861673978075	2.3985260979434816E-4	0.32588250587534456	0.2992983534509706	0.16828080850727334	0.14252967278524023	0.38989116525651574	4.3759227313537234	5.571905088181308	-4.870861481879124	0.0	-0.32588250587534456	-2.6907395835745387	-11.446321585286231	-13.815510557964274	0	-9.615805480084347	125.03676374199699
330000	-10577.686581262436	-9257.296505383838	-1320.3900758785985	1717.6558808610826	21499.79830884538	19	0	431.60875470788847	344.72154425859827	207.52631578947367	26.25	175.31578947368422	381.8421052631579	250.0	212.0	1.1746398906571366E-6	303.4284500402733	2980.4396268429723	2.5654340011173696E-4	0.32588250587534456	0.3015462561965824	0.18436257530580422	0.12420000324109753	0.38989116525651574	4.3759227313537234	5.670529483622394	-5.208167593212921	0.0	-0.32588250587534456	-2.6907395835745387	-11.263381929413395	-13.815510557964274	0	-9.615805480084347	302.34411913891745
340000	-10400.225394898876	-9061.41463679294	-1338.8107581059357	1794.0116934284986	20202.027394268873	20	0	435.0706777279477	390.5683746165659	243.85	26.25	162.75	405.6	89.0	250.0	1.1713511720319654E-6	316.4373541377916	2667.6921158994405	2.5145979564322003E-4	0.31318574287152995	0.31955784899938566	0.17649622956113795	0.12420000324109753	0.3797459181983787	4.585053459193839	5.640818729983918	-5.4679965270477195	0.0	-0.31318574287152995	-2.7523467891746654	-11.27015001413883	-13.815510557964274	0	-9.615805480084347	225.98830657150143
350000	-10316.434974648106	-9014.364915856762	-1302.0700587913434	1841.1736404671988	18971.672187144202	19	1	289.15286028458985	313.11150097241443	191.89473684210526	26.25	292.0	482.89473684210526	0.0	696.0	1.1471043806669963E-6	220.5810827673351	2363.879947206604	2.758038643518752E-4	0.3307080750520555	0.28638083136860154	0.1984775819719509	0.1299612771952907	0.38518030946415677	4.084191255726361	5.780490976756165	-5.141731745791956	0.0	-0.3307080750520555	-2.602245728226475	-11.320705651373787	-13.815510557964274	0	-9.615805480084347	178.82635953280123
360000	-10320.78468295427	-8997.40676504056	-1323.3779179137114	1859.3227469270666	21679.709831046217	19	0	466.1013447342604	381.62648477640795	204.0	24.5	222.26315789473685	425.2631578947368	638.0	643.0	1.2389305694656893E-6	227.20529644755737	2648.287895907527	2.6634932315797795E-4	0.33738476035530013	0.28638083136860154	0.18822901979377668	0.1409166817249738	0.3844734671126479	4.912819593701041	5.727028339990804	-5.0460600548513375	0.0	-0.33738476035530013	-2.8460210267160626	-11.135121500143798	-13.815510557964274	0	-9.615805480084347	160.67725307293335
370000	-10415.45411641072	-9094.426183496775	-1321.0279329139453	1819.282698318547	22149.671711676827	19	0	492.1193697252263	440.33760992615623	195.52631578947367	27.22222222222222	253.89473684210526	448.42105263157896	309.0	641.0	1.119948643790501E-6	226.3442018495654	2962.0865786587055	2.355670800835061E-4	0.33230698140316356	0.303927321746042	0.1800713907160348	0.1409166817249738	0.37508460581294933	4.855692507237487	5.54608285961007	-5.0575040884613784	0.0	-0.33230698140316356	-2.8299381434029467	-11.37874542433283	-13.815510557964274	0	-9.615805480084347	200.7173016814529
380000	-10643.6422411865	-9280.011260022962	-1363.6309811635383	1886.6279474020835	22829.1116059406	20	0	235.50731786175123	333.5397219165528	201.7	25.344827586206897	202.5	403.2	0.0	256.0	1.1372127062125574E-6	287.0443427014312	2957.515254470529	2.3632377526921396E-4	0.33230698140316356	0.2916084614156692	0.19239025104640758	0.1409166817249738	0.37508460581294933	4.0961764075731155	5.55065712045051	-4.97724083306331	0.0	-0.33230698140316356	-2.6059421983244446	-11.341669848086815	-13.815510557964274	0	-9.615805480084347	133.37205259791654
390000	-10450.445525332769	-9087.24152647748	-1363.2039988552885	2018.6667863408998	24628.643929379876	20	0	916.1347080632253	583.4049380636932	152.5	24.5	207.75	359.25	306.0	128.0	9.294369196523774E-7	256.47358394291314	4011.9167369973934	2.2169969623742078E-4	0.33230698140316356	0.2950406897318429	0.19121455331961332	0.12461636532485562	0.3891283916236881	4.601435474274338	5.461127165762354	-4.833448660674355	0.0	-0.33230698140316356	-2.757110751740968	-11.835358726236322	-13.815510557964274	0	-9.615805480084347	1.3332136591002381
400000	-10347.407861970229	-9022.590114493245	-1324.817747476983	1780.1397450365357	21943.964398637527	19	0	935.4634447849676	447.6547846712912	173.05263157894737	27.22222222222222	276.89473684210526	448.94736842105266	351.0	734.0	9.735041087393826E-7	275.74384758434525	2994.7031303743565	2.3126217741716344E-4	0.36796527155588077	0.2950406897318429	0.18446924795247566	0.13136167069199328	0.3891283916236881	4.457397489948209	5.519938450475886	-4.880535285984637	0.0	-0.36796527155588077	-2.7149174335500135	-11.721108260618958	-13.815510557964274	0	-9.615805480084347	239.86025496346429
